	Air Quality Network	Air Quality Network Name	Air Quality Station EoI Code	Air Quality Station Name	Air Pollutant	Air Pollutant Description	Year	Air Pollution Level	Unit Of Air Pollution Level	Data Coverage	Verification	Air Quality Station Type	Air Quality Station Area	Longitude	Latitude	Altitude	Source Of Data Flow	Calculation Time
2	NET-RS002A	Serbian national AQ network	RS0034A	Kikinda	SO2	Sulphur dioxide (air)	2020	14.796	ug/m3	96.17	1.0	Background	Urban	20.454	45.8215	78.0	E1a/validated data AQ e-Reporting	31/05/2022 20:36:04
3	NET-RS002A	Serbian national AQ network	RS0034A	Kikinda	SO2	Sulphur dioxide (air)	2019	1.338	ug/m3	98.63	1.0	Background	Urban	20.454	45.8215	78.0	E1a/validated data AQ e-Reporting	31/05/2022 20:12:56
6	NET-RS002A	Serbian national AQ network	RS0034A	Kikinda	SO2	Sulphur dioxide (air)	2019	12.5	ug/m3	97.76	1.0	Background	Urban	20.454	45.8215	78.0	E1a/validated data AQ e-Reporting	31/05/2022 20:29:07
8	NET-RS002A	Serbian national AQ network	RS0034A	Kikinda	O3	Ozone (air)	2020	91.629	ug/m3	97.81	1.0	Background	Urban	20.454	45.8215	78.0	E1a/validated data AQ e-Reporting	31/05/2022 20:01:26
12	NET-RS002A	Serbian national AQ network	RS0034A	Kikinda	O3	Ozone (air)	2020	72.351	ug/m3	97.81	1.0	Background	Urban	20.454	45.8215	78.0	E1a/validated data AQ e-Reporting	31/05/2022 20:49:42
14	NET-RS002A	Serbian national AQ network	RS0034A	Kikinda	O3	Ozone (air)	2019	152.0	ug/m3	97.49	1.0	Background	Urban	20.454	45.8215	78.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
18	NET-RS002A	Serbian national AQ network	RS0034A	Kikinda	O3	Ozone (air)	2021	14.667	count	100.0	3.0	Background	Urban	20.454	45.8215	78.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 20:59:44
30	NET-RS002A	Serbian national AQ network	RS0035A	Pancevo-Sodara	CO	Carbon monoxide (air)	2019	0.0	mg/m3	97.25	1.0	Industrial	Urban	20.6443	44.863	80.0	E1a/validated data AQ e-Reporting	31/05/2022 20:54:52
33	NET-RS002A	Serbian national AQ network	RS0036A	Belgrade-Novi Beograd	SO2	Sulphur dioxide (air)	2020	9.4	ug/m3	98.16	1.0	Background	Urban	20.4002	44.8032	74.0	E1a/validated data AQ e-Reporting	31/05/2022 20:29:07
35	NET-RS002A	Serbian national AQ network	RS0036A	Belgrade-Novi Beograd	PM10	Particulate matter < 10 µm (aerosol)	2021	25.925	ug/m3	93.63	3.0	Background	Urban	20.4002	44.8032	74.0	E2a/UTD AQ e-Reporting	31/05/2022 20:29:07
36	NET-RS002A	Serbian national AQ network	RS0036A	Belgrade-Novi Beograd	PM10	Particulate matter < 10 µm (aerosol)	2019	68.95	ug/m3	82.19	1.0	Background	Urban	20.4002	44.8032	74.0	E1a/validated data AQ e-Reporting	31/05/2022 20:33:41
37	NET-RS002A	Serbian national AQ network	RS0036A	Belgrade-Novi Beograd	PM10	Particulate matter < 10 µm (aerosol)	2019	68.95	ug/m3	82.19	1.0	Background	Urban	20.4002	44.8032	74.0	E1a/validated data AQ e-Reporting	31/05/2022 20:34:00
38	NET-RS002A	Serbian national AQ network	RS0036A	Belgrade-Novi Beograd	PM10	Particulate matter < 10 µm (aerosol)	2019	114.35	ug/m3	82.19	1.0	Background	Urban	20.4002	44.8032	74.0	E1a/validated data AQ e-Reporting	31/05/2022 20:34:18
39	NET-RS002A	Serbian national AQ network	RS0036A	Belgrade-Novi Beograd	O3	Ozone (air)	2021	17878.968	ug/m3	85.78	3.0	Background	Urban	20.4002	44.8032	74.0	E2a/UTD AQ e-Reporting	31/05/2022 21:34:18
45	NET-RS002A	Serbian national AQ network	RS0036A	Belgrade-Novi Beograd	NO2	Nitrogen dioxide (air)	2020	172.5	ug/m3	97.94	1.0	Background	Urban	20.4002	44.8032	74.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
47	NET-RS002A	Serbian national AQ network	RS0036A	Belgrade-Novi Beograd	NOX as NO2	Nitrogen oxides (air)	2020	867.1	ug/m3	97.94	1.0	Background	Urban	20.4002	44.8032	74.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
51	NET-RS002A	Serbian national AQ network	RS0036A	Belgrade-Novi Beograd	CO	Carbon monoxide (air)	2020	3.52	mg/m3	98.13	1.0	Background	Urban	20.4002	44.8032	74.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
61	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	SO2	Sulphur dioxide (air)	2020	90.7	ug/m3	98.45	1.0	Background	Urban	20.4753	44.797	141.0	E1a/validated data AQ e-Reporting	31/05/2022 20:57:06
62	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	SO2	Sulphur dioxide (air)	2020	90.8	ug/m3	98.45	1.0	Background	Urban	20.4753	44.797	141.0	E1a/validated data AQ e-Reporting	31/05/2022 20:30:29
63	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	SO2	Sulphur dioxide (air)	2019	6.58	ug/m3	98.04	1.0	Background	Urban	20.4753	44.797	141.0	E1a/validated data AQ e-Reporting	31/05/2022 20:29:07
64	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	SO2	Sulphur dioxide (air)	2021	17.822	ug/m3	94.14	3.0	Background	Urban	20.4753	44.797	141.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 21:16:40
65	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	PM10	Particulate matter < 10 µm (aerosol)	2020	184.7	ug/m3	91.8	1.0	Background	Urban	20.4753	44.797	141.0	E1a/validated data AQ e-Reporting	31/05/2022 20:00:36
69	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	O3	Ozone (air)	2021	44.927	ug/m3	93.82	3.0	Background	Urban	20.4753	44.797	141.0	E2a/UTD AQ e-Reporting	31/05/2022 19:24:45
73	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	O3	Ozone (air)	2020	0.0	count	100.0	1.0	Background	Urban	20.4753	44.797	141.0	E1a/validated data AQ e-Reporting	31/05/2022 20:59:44
75	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	O3	Ozone (air)	2019	76.396	ug/m3	99.18	1.0	Background	Urban	20.4753	44.797	141.0	E1a/validated data AQ e-Reporting	31/05/2022 21:31:24
76	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	O3	Ozone (air)	2021	3856.367	ug/m3	92.33	3.0	Background	Urban	20.4753	44.797	141.0	E2a/UTD AQ e-Reporting	31/05/2022 21:31:24
80	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	NO2	Nitrogen dioxide (air)	2019	90.152	ug/m3	96.87	1.0	Background	Urban	20.4753	44.797	141.0	E1a/validated data AQ e-Reporting	31/05/2022 20:59:32
83	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	NO	Nitrogen monoxide (air)	2019	503.75	ug/m3	96.87	1.0	Background	Urban	20.4753	44.797	141.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
85	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	Ni in PM10	Nickel in PM10 (aerosol)	2019	2.35	ng/m3	19.18	1.0	Background	Urban	20.4753	44.797	141.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 19:24:45
86	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	Ni in PM10	Nickel in PM10 (aerosol)	2020	1.698	ng/m3	13.66	1.0	Background	Urban	20.4753	44.797	141.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
89	NET-RS002A	Serbian national AQ network	RS0038A	Kostolac	SO2	Sulphur dioxide (air)	2020	0.0	count	97.81	1.0	Industrial	Suburban	21.1734	44.7175	75.0	E1a/validated data AQ e-Reporting	31/05/2022 20:47:14
90	NET-RS002A	Serbian national AQ network	RS0038A	Kostolac	SO2	Sulphur dioxide (air)	2019	234.0	ug/m3	98.14	1.0	Industrial	Suburban	21.1734	44.7175	75.0	E1a/validated data AQ e-Reporting	31/05/2022 20:30:29
93	NET-RS002A	Serbian national AQ network	RS0038A	Kostolac	PM10	Particulate matter < 10 µm (aerosol)	2019	69.654	ug/m3	94.79	1.0	Industrial	Suburban	21.1734	44.7175	75.0	E1a/validated data AQ e-Reporting	31/05/2022 20:34:00
98	NET-RS002A	Serbian national AQ network	RS0038A	Kostolac	CO	Carbon monoxide (air)	2021	-0.446	mg/m3	92.39	3.0	Industrial	Suburban	21.1734	44.7175	75.0	E2a/UTD AQ e-Reporting	31/05/2022 20:54:52
100	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	PM10	Particulate matter < 10 µm (aerosol)	2020	14.8	ug/m3	88.8	1.0	Background	Suburban	20.9317	44.6523	147.0	E1a/validated data AQ e-Reporting	31/05/2022 20:13:08
101	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO2	Nitrogen dioxide (air)	2020	8.42	ug/m3	96.44	1.0	Background	Suburban	20.9317	44.6523	147.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
103	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO2	Nitrogen dioxide (air)	2019	83.921	ug/m3	85.75	1.0	Background	Suburban	20.9317	44.6523	147.0	E1a/validated data AQ e-Reporting	31/05/2022 20:01:14
104	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO2	Nitrogen dioxide (air)	2020	30.033	ug/m3	96.99	1.0	Background	Suburban	20.9317	44.6523	147.0	E1a/validated data AQ e-Reporting	31/05/2022 20:01:14
105	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO2	Nitrogen dioxide (air)	2019	10.887	ug/m3	84.71	1.0	Background	Suburban	20.9317	44.6523	147.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 20:29:07
107	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO2	Nitrogen dioxide (air)	2020	0.0	count	96.44	1.0	Background	Suburban	20.9317	44.6523	147.0	E1a/validated data AQ e-Reporting	31/05/2022 20:12:43
108	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO2	Nitrogen dioxide (air)	2021	15.113	ug/m3	91.58	3.0	Background	Suburban	20.9317	44.6523	147.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 19:56:28
113	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	CO	Carbon monoxide (air)	2021	2.89	mg/m3	93.42	3.0	Background	Suburban	20.9317	44.6523	147.0	E2a/UTD AQ e-Reporting	31/05/2022 20:01:37
114	NET-RS002A	Serbian national AQ network	RS0039A	Smederevo-Carina	NO	Nitrogen monoxide (air)	2020	7.383	ug/m3	96.44	1.0	Background	Suburban	20.9317	44.6523	147.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
118	NET-RS002A	Serbian national AQ network	RS0041A	Valjevo	PM10	Particulate matter < 10 µm (aerosol)	2020	42.8	ug/m3	95.36	1.0	Background	Urban	19.899	44.273	181.0	E1a/validated data AQ e-Reporting	31/05/2022 20:33:23
119	NET-RS002A	Serbian national AQ network	RS0041A	Valjevo	PM10	Particulate matter < 10 µm (aerosol)	2020	125.7	ug/m3	95.36	1.0	Background	Urban	19.899	44.273	181.0	E1a/validated data AQ e-Reporting	31/05/2022 20:34:00
120	NET-RS002A	Serbian national AQ network	RS0041A	Valjevo	NO2	Nitrogen dioxide (air)	2019	0.0	count	98.63	1.0	Background	Urban	19.899	44.273	181.0	E1a/validated data AQ e-Reporting	31/05/2022 20:46:32
121	NET-RS002A	Serbian national AQ network	RS0041A	Valjevo	NO2	Nitrogen dioxide (air)	2019	146.688	ug/m3	98.63	1.0	Background	Urban	19.899	44.273	181.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
124	NET-RS002A	Serbian national AQ network	RS0041A	Valjevo	NO2	Nitrogen dioxide (air)	2019	103.904	ug/m3	98.63	1.0	Background	Urban	19.899	44.273	181.0	E1a/validated data AQ e-Reporting	31/05/2022 20:33:02
127	NET-RS002A	Serbian national AQ network	RS0041A	Valjevo	NO2	Nitrogen dioxide (air)	2019	0.0	count	98.63	1.0	Background	Urban	19.899	44.273	181.0	E1a/validated data AQ e-Reporting	31/05/2022 20:06:29
129	NET-RS002A	Serbian national AQ network	RS0041A	Valjevo	NOX as NO2	Nitrogen oxides (air)	2019	60.983	ug/m3	64.8	1.0	Background	Urban	19.899	44.273	181.0	E1a/validated data AQ e-Reporting	31/05/2022 19:56:28
130	NET-RS002A	Serbian national AQ network	RS0041A	Valjevo	CO	Carbon monoxide (air)	2019	0.01	mg/m3	96.4	1.0	Background	Urban	19.899	44.273	181.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
141	NET-RS002A	Serbian national AQ network	RS0042A	Bor-Institut	NO2	Nitrogen dioxide (air)	2019	28.601	ug/m3	97.96	1.0	Industrial	Urban	22.1014	44.0599	389.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
143	NET-RS002A	Serbian national AQ network	RS0042A	Bor-Institut	NO2	Nitrogen dioxide (air)	2021	0.0	count	93.62	3.0	Industrial	Urban	22.1014	44.0599	389.0	E2a/UTD AQ e-Reporting	31/05/2022 20:46:32
145	NET-RS002A	Serbian national AQ network	RS0042A	Bor-Institut	NO2	Nitrogen dioxide (air)	2020	3.8	ug/m3	98.43	1.0	Industrial	Urban	22.1014	44.0599	389.0	E1a/validated data AQ e-Reporting	31/05/2022 20:54:52
148	NET-RS002A	Serbian national AQ network	RS0042A	Bor-Institut	NO	Nitrogen monoxide (air)	2019	1.7	ug/m3	97.96	1.0	Industrial	Urban	22.1014	44.0599	389.0	E1a/validated data AQ e-Reporting	31/05/2022 20:54:52
151	NET-RS002A	Serbian national AQ network	RS0043A	Kragujevac	SO2	Sulphur dioxide (air)	2019	15.995	ug/m3	97.53	1.0	Background	Urban	20.925	44.0116	175.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 20:36:04
152	NET-RS002A	Serbian national AQ network	RS0043A	Kragujevac	SO2	Sulphur dioxide (air)	2019	6.178	ug/m3	97.53	1.0	Background	Urban	20.925	44.0116	175.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 20:37:34
154	NET-RS002A	Serbian national AQ network	RS0029A	Novi Sad-Rumenacka	SO2	Sulphur dioxide (air)	2021	38.307	ug/m3	93.97	3.0	Traffic	Urban	19.819	45.2626	78.0	E2a/UTD AQ e-Reporting	31/05/2022 20:35:11
155	NET-RS002A	Serbian national AQ network	RS0029A	Novi Sad-Rumenacka	PM10	Particulate matter < 10 µm (aerosol)	2021	26.227	ug/m3	94.13	3.0	Traffic	Urban	19.819	45.2626	78.0	E2a/UTD AQ e-Reporting	31/05/2022 20:29:07
158	NET-RS002A	Serbian national AQ network	RS0029A	Novi Sad-Rumenacka	NO2	Nitrogen dioxide (air)	2020	23.94	ug/m3	97.46	1.0	Traffic	Urban	19.819	45.2626	78.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
159	NET-RS002A	Serbian national AQ network	RS0029A	Novi Sad-Rumenacka	NO2	Nitrogen dioxide (air)	2020	23.118	ug/m3	99.73	1.0	Traffic	Urban	19.819	45.2626	78.0	E1a/validated data AQ e-Reporting	31/05/2022 20:37:17
161	NET-RS002A	Serbian national AQ network	RS0029A	Novi Sad-Rumenacka	NO2	Nitrogen dioxide (air)	2021	24.963	ug/m3	94.01	3.0	Traffic	Urban	19.819	45.2626	78.0	E2a/UTD AQ e-Reporting	31/05/2022 20:29:07
162	NET-RS002A	Serbian national AQ network	RS0029A	Novi Sad-Rumenacka	NO2	Nitrogen dioxide (air)	2021	27.202	ug/m3	95.49	3.0	Traffic	Urban	19.819	45.2626	78.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 19:56:28
163	NET-RS002A	Serbian national AQ network	RS0029A	Novi Sad-Rumenacka	NOX as NO2	Nitrogen oxides (air)	2019	68.1	ug/m3	94.98	1.0	Traffic	Urban	19.819	45.2626	78.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 19:24:45
165	NET-RS002A	Serbian national AQ network	RS0029A	Novi Sad-Rumenacka	CO	Carbon monoxide (air)	2021	0.843	mg/m3	94.11	3.0	Traffic	Urban	19.819	45.2626	78.0	E2a/UTD AQ e-Reporting	31/05/2022 19:24:45
168	NET-RS002A	Serbian national AQ network	RS0029A	Novi Sad-Rumenacka	CO	Carbon monoxide (air)	2021	5.157	mg/m3	94.11	3.0	Traffic	Urban	19.819	45.2626	78.0	E2a/UTD AQ e-Reporting	31/05/2022 20:14:43
170	NET-RS002A	Serbian national AQ network	RS0029A	Novi Sad-Rumenacka	NO	Nitrogen monoxide (air)	2020	557.5	ug/m3	97.46	1.0	Traffic	Urban	19.819	45.2626	78.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
173	NET-RS002A	Serbian national AQ network	RS0030A	Nis-IZJZ	PM10	Particulate matter < 10 µm (aerosol)	2019	91.475	ug/m3	73.97	1.0	Traffic	Urban	21.9135	43.3166	200.0	E1a/validated data AQ e-Reporting	31/05/2022 20:34:00
175	NET-RS002A	Serbian national AQ network	RS0030A	Nis-IZJZ	PM10	Particulate matter < 10 µm (aerosol)	2019	40.631	ug/m3	56.4	1.0	Traffic	Urban	21.9135	43.3166	200.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 19:56:28
176	NET-RS002A	Serbian national AQ network	RS0030A	Nis-IZJZ	NO2	Nitrogen dioxide (air)	2020	21.615	ug/m3	85.96	1.0	Traffic	Urban	21.9135	43.3166	200.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
177	NET-RS002A	Serbian national AQ network	RS0030A	Nis-IZJZ	NO2	Nitrogen dioxide (air)	2020	49.7	ug/m3	86.61	1.0	Traffic	Urban	21.9135	43.3166	200.0	E1a/validated data AQ e-Reporting	31/05/2022 20:01:14
180	NET-RS002A	Serbian national AQ network	RS0030A	Nis-IZJZ	NO2	Nitrogen dioxide (air)	2019	84.04	ug/m3	97.03	1.0	Traffic	Urban	21.9135	43.3166	200.0	E1a/validated data AQ e-Reporting	31/05/2022 20:33:02
181	NET-RS002A	Serbian national AQ network	RS0030A	Nis-IZJZ	NO2	Nitrogen dioxide (air)	2020	0.0	count	85.96	1.0	Traffic	Urban	21.9135	43.3166	200.0	E1a/validated data AQ e-Reporting	31/05/2022 20:06:29
184	NET-RS002A	Serbian national AQ network	RS0030A	Nis-IZJZ	NO	Nitrogen monoxide (air)	2020	0.8	ug/m3	85.96	1.0	Traffic	Urban	21.9135	43.3166	200.0	E1a/validated data AQ e-Reporting	31/05/2022 20:54:52
185	NET-RS002A	Serbian national AQ network	RS0030A	Nis-IZJZ	PM2.5	Particulate matter < 2.5 µm (aerosol)	2021	337.232	ug/m3	93.63	3.0	Traffic	Urban	21.9135	43.3166	200.0	E2a/UTD AQ e-Reporting	31/05/2022 20:14:43
189	NET-RS002A	Serbian national AQ network	RS0031A	Novi Sad-Liman	SO2	Sulphur dioxide (air)	2021	5425.818	ug/m3	92.68	3.0	Background	Urban	19.8357	45.2386	81.0	E2a/UTD AQ e-Reporting	31/05/2022 20:14:43
191	NET-RS002A	Serbian national AQ network	RS0031A	Novi Sad-Liman	PM10	Particulate matter < 10 µm (aerosol)	2020	7.5	ug/m3	90.44	1.0	Background	Urban	19.8357	45.2386	81.0	E1a/validated data AQ e-Reporting	31/05/2022 20:13:08
193	NET-RS002A	Serbian national AQ network	RS0031A	Novi Sad-Liman	O3	Ozone (air)	2019	11900.7	ug/m3	98.46	1.0	Background	Urban	19.8357	45.2386	81.0	E1a/validated data AQ e-Reporting	31/05/2022 21:34:18
202	NET-RS002A	Serbian national AQ network	RS0031A	Novi Sad-Liman	NO2	Nitrogen dioxide (air)	2020	59.6	ug/m3	97.15	1.0	Background	Urban	19.8357	45.2386	81.0	E1a/validated data AQ e-Reporting	31/05/2022 20:33:02
204	NET-RS002A	Serbian national AQ network	RS0031A	Novi Sad-Liman	NOX as NO2	Nitrogen oxides (air)	2019	431.66	ug/m3	97.01	1.0	Background	Urban	19.8357	45.2386	81.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
211	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	O3	Ozone (air)	2019	15909.207	ug/m3	98.36	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 21:35:47
217	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	O3	Ozone (air)	2019	0.0	count	98.07	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 20:03:47
219	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	O3	Ozone (air)	2020	71.066	ug/m3	100.0	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 21:31:12
225	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	NO2	Nitrogen dioxide (air)	2021	79.656	ug/m3	92.6	3.0	Background	Urban	20.4591	44.8211	103.0	E2a/UTD AQ e-Reporting	31/05/2022 20:01:14
227	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	NO2	Nitrogen dioxide (air)	2021	131.592	ug/m3	93.13	3.0	Background	Urban	20.4591	44.8211	103.0	E2a/UTD AQ e-Reporting	31/05/2022 20:33:02
229	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	NO2	Nitrogen dioxide (air)	2020	0.0	count	98.05	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 20:12:43
231	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	NOX as NO2	Nitrogen oxides (air)	2020	4.8	ug/m3	98.05	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 20:54:52
234	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	PM2.5	Particulate matter < 2.5 µm (aerosol)	2021	167.462	ug/m3	80.3	3.0	Background	Urban	20.4591	44.8211	103.0	E2a/UTD AQ e-Reporting	31/05/2022 20:14:43
235	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	PM2.5	Particulate matter < 2.5 µm (aerosol)	2021	20.205	ug/m3	48.46	3.0	Background	Urban	20.4591	44.8211	103.0	E2a/UTD AQ e-Reporting	31/05/2022 19:56:28
250	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	O3	Ozone (air)	2019	89.686	ug/m3	100.0	1.0	Background	Urban	21.919	43.3226	198.0	E1a/validated data AQ e-Reporting	31/05/2022 21:31:12
255	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	NO2	Nitrogen dioxide (air)	2021	46.057	ug/m3	93.97	3.0	Background	Urban	21.919	43.3226	198.0	E2a/UTD AQ e-Reporting	31/05/2022 20:34:53
